City,Lat,Lon,Max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
jiddah,68.3499,-133.7218,-34,75,64,0.51,CA,1611982290
sembe,-7.8447,-79.1469,22.72,68,94,2.02,PE,1611982290
inuvik,-26.6481,15.1594,18.44,52,0,9.62,NA,1611982290
chicama,28.017,-97.5169,21,73,90,6.17,US,1611982291
luderitz,12.1167,-61.6167,25,83,20,6.17,GD,1611982291
san patricio,2.6708,72.8944,27.16,79,0,6.32,MV,1611982291
grenville,14.2,24.6667,9.95,43,0,4.43,SD,1611982291
kudahuvadhoo,54.2668,-110.735,-21,71,1,0.93,CA,1611982292
kutum,32.6667,-17.1,13.89,75,56,1.34,PT,1611982292
bonnyville,49.758,129.523,-26.09,85,29,3.48,RU,1611982292
ponta do sol,-19.7625,-44.3139,22,73,0,1.54,BR,1611982292
shirokiy,-54.8,-68.3,6,75,75,7.2,AR,1611982244
esmeraldas,-17.7125,-39.2481,23.48,89,0,1.89,BR,1611982293
ushuaia,45.3246,-118.0877,-1.11,85,85,0.84,US,1611982293
suzu,-34.5322,20.0403,17.22,89,87,2.86,ZA,1611982293
caravelas,-33.6971,-53.4616,19.53,94,6,0.54,UY,1611982294
la grande,16.2923,119.8062,26.12,60,2,3.13,PH,1611982294
bredasdorp,71.6872,128.8694,-34.08,85,100,2.34,RU,1611982294
chuy,29.1614,16.139,11.7,53,0,2.45,LY,1611982294
catuday,18.2116,-65.7349,23,78,20,2.06,PR,1611982295
tiksi,69.7008,170.3133,-34.4,85,28,2,RU,1611982295
waddan,71.0357,27.8492,-3.28,96,100,9.31,NO,1611982295
naguabo,-0.9492,100.3543,30,66,40,2.06,ID,1611982072
pevek,39.5994,-110.8107,-1,93,90,1.54,US,1611982296
mehamn,25.3573,55.4033,20,72,0,1.03,AE,1611982296
padang,4.95,-6.0833,24.72,91,28,2.1,CI,1611982296
price,-24.8667,113.6333,42,19,0,7.72,AU,1611982296
sharjah,10.2511,-74.9146,25,83,0,4.63,CO,1611982296
sassandra,6.5833,3.75,25.08,92,70,0.79,NG,1611981899
carnarvon,29.5833,-9.5,13.98,45,0,1.39,MA,1611982095
calamar,69.6496,18.957,-7,68,0,4.63,NO,1611982297
lagos,69.4541,-133.0374,-38,67,1,1.03,CA,1611982297
tiznit,41.7597,86.1469,-1.17,75,0,3.18,CN,1611982298
tromso,59.2353,163.0719,-12.26,94,100,8.58,RU,1611982298
tuktoyaktuk,-22.038,-63.6797,20.08,88,82,1.39,BO,1611982298
korla,62.456,-114.3525,-28.33,76,1,3.09,CA,1611982298
ossora,-11.3847,43.2844,28.07,77,76,5.05,KM,1611982299
yacuiba,34.3833,131.2,8.33,57,75,5.14,JP,1611982299
yellowknife,42.6001,-73.9662,-13.33,76,2,3.63,US,1611982095
mitsamiouli,-10.7073,22.2247,18.01,98,95,0.65,AO,1611982299
mys shmidta,-21.2078,-159.775,27,83,40,2.57,CK,1611982300
nagato,27.6298,85.5214,11,62,20,2.57,NP,1611982300
albany,36.4009,47.1133,-2.65,95,66,3.57,IR,1611982301
luau,-31.9333,115.8333,33.89,18,0,7.2,AU,1611982095
sentyabrskiy,41.6103,20.0089,9,93,90,1.54,AL,1611982301
avarua,-37.6167,-73.65,13.13,91,69,2.43,CL,1611982088
banepa,14.9709,8.8879,14.02,33,36,6.04,NE,1611982301
malwan,-42.8794,147.3294,24.44,72,75,10.8,AU,1611982302
takab,73.5069,80.5464,-36.93,84,94,3.55,RU,1611982302
perth,-6.1349,12.3689,25.47,88,100,2.29,AO,1611982302
burrel,27.9667,73.55,20.05,20,0,2.12,IN,1611982302
lebu,-0.5853,30.2114,18.18,69,47,0.44,UG,1611982303
tanout,-41.1456,-71.3082,10,71,0,2.57,AR,1611982303
hobart,-33.5906,26.891,19.44,81,19,0.45,ZA,1611982304
dikson,78.2186,15.6401,-17,46,20,11.83,SJ,1611982304
soyo,69.4865,88.3972,-34.65,67,0,2.09,RU,1611982304
napasar,22.2855,114.1577,22.22,52,0,3.6,HK,1611982249
hihifo,49.1833,125.2167,-26.29,83,2,1.26,CN,1611982305
bushenyi,0.5333,72.9333,28.02,75,95,5.92,MV,1611982305
attawapiskat,71.2906,-156.7887,-24,70,75,3.6,US,1611982305
san carlos de bariloche,60.34,102.2797,-36.68,80,57,3.91,RU,1611982305
port alfred,41.3712,-73.414,-11,52,1,2.57,US,1611982306
longyearbyen,-33.1905,-68.4608,21,60,20,7.2,AR,1611982151
talnakh,24.4042,103.4428,15.72,67,98,3.42,CN,1611982306
victoria,52.4503,64.6311,-7.68,93,99,4.69,KZ,1611982306
nenjiang,-9.8,-139.0333,25.9,78,14,8.73,PF,1611982307
thinadhoo,38.0667,116.5667,10.63,36,6,4.21,CN,1611982307
barrow,65.282,-126.8329,-35,68,75,1.54,CA,1611982307
vanavara,-21.2,-175.2,27,83,90,6.17,TO,1611982307
bethel,36.3868,4.3989,13.55,50,0,1.88,DZ,1611982308
rivadavia,-11.8343,31.4529,17.76,93,100,1.09,ZM,1611982308
miyang,50.7165,-121.2859,-4,86,20,1.03,CA,1611982308
kushmurun,35.5281,-108.7426,-1,80,90,12.86,US,1611982308
atuona,36.6167,101.7667,-4.13,64,100,1.51,CN,1611982309
botou,-16.4833,-151.75,27.44,65,100,2.25,PF,1611982309
norman wells,51.3223,42.7678,1.11,94,100,10.01,RU,1611982309
vaini,40.5782,17.0374,9.44,76,0,4.12,IT,1611982309
tazmalt,-3.3333,128.9167,30.59,61,96,2.05,ID,1611982310
mpika,33.194,-82.5271,0,93,1,2.05,US,1611982310
atka,42.2506,-75.833,-12.78,85,90,3.09,US,1611982310
ashcroft,54.4299,31.8996,-6.69,97,100,6.66,RU,1611982311
gallup,45.41,79.9186,0.4,81,0,0.47,KZ,1611982311
xining,60.3964,-1.353,1,69,43,4.12,GB,1611982311
faanui,-33.9258,18.4232,21.11,94,75,1.54,ZA,1611982312
kamenka,59.3833,143.3,-21.21,85,0,4.17,RU,1611982312
palagiano,65.4167,-52.9,-7.29,75,0,2.76,GL,1611982312
amahai,50.1001,-91.917,-14,78,75,1.54,CA,1611982312
avera,-33.0153,27.9116,19,94,20,3.09,ZA,1611982313
broome,22.6783,-3.9836,17.24,29,0,4.42,ML,1611982313
grand river south east,26.1842,127.7558,19,34,40,4.63,JP,1611982313
sobolevo,-19.5667,18.1167,18,100,40,1.03,NA,1611982313
marcona,-3.6667,152.4333,28.77,78,75,5.84,PG,1611982314
sarkand,38.5167,-28.7,16.76,89,98,10.43,PT,1611982314
brae,4.4148,114.0089,31,70,40,4.12,MY,1611982314
cape town,-33.0117,17.9442,19.35,76,84,4.09,ZA,1611982315
okhotsk,55.7435,-97.8558,-12,85,90,2.06,CA,1611982316
maniitsoq,35.3667,132.7667,7,61,40,9.26,JP,1611982316
sioux lookout,37.1041,-113.5841,3.89,93,75,3.09,US,1611982316
east london,-17.7333,-149.15,28,65,75,2.57,PF,1611982316
taoudenni,64.75,177.4833,-28.89,69,0,3,RU,1611982317
nishihara,39.05,-27.9833,15.78,84,100,9.01,PT,1611982317
grootfontein,66.1451,-65.7125,-23,77,1,2.57,CA,1611982317
mithimna,19.7297,-155.09,22,83,90,3.09,US,1611982317
namatanai,18.7369,7.3853,12.63,34,0,1.18,NE,1611982317
ribeira grande,55.2261,63.2961,-9.17,96,100,5.16,RU,1611982318
miri,0.7821,11.549,20.39,99,81,1,GA,1611982318
saldanha,38.8876,-76.5119,-1,47,90,3.6,US,1611982318
thompson,-20.7333,139.5,39,22,75,4.63,AU,1611982318
izumo,-28.783,32.0377,23.84,84,74,1.38,ZA,1611982319
saint george,68.75,161.3,-37.81,83,5,0.79,RU,1611982319
tautira,-10.4544,161.9205,28.73,76,100,3.83,SB,1611982319
anadyr,29.9697,40.2064,4,75,0,3.6,SA,1611982300
lagoa,32.2163,-80.7526,7.78,93,1,2.01,US,1611982155
pangnirtung,66.5606,67.7975,-39.66,80,72,1.88,RU,1611982320
hilo,68.8193,-51.1922,-17,55,0,3.09,GL,1611982320
arlit,48.8499,-54.0148,-5,93,100,4.12,CA,1611982321
shumikha,45.6333,85.1833,-12.09,89,6,1.28,CN,1611982321
mitzic,14.5094,-92.1933,18.89,90,32,1.2,GT,1611982321
mayo,77.484,-69.3632,-25.29,63,0,2.38,GL,1611982321
mount isa,-3.8367,-62.0569,22.63,97,71,0.76,BR,1611982322
richards bay,50.0501,-110.6683,-12.22,78,90,2.57,CA,1611982322
cherskiy,-6.7221,146.9847,35,46,75,2.57,PG,1611982322
ijaki,43.7501,-81.7165,-3,63,100,4.63,CA,1611982322
kirakira,-20.55,46.8,19.23,83,57,1.2,MG,1611982323
sakakah,-17.1889,-41.6947,16.44,97,3,0.79,BR,1611982323
hilton head island,54.6961,20.2361,0.56,93,75,2,RU,1611982323
aksarka,5.9594,121.3903,27.9,73,59,2.77,PH,1611982323
taolanaro,18.4167,-64.6167,25,84,34,1.79,VG,1611982324
qasigiannguit,37.0286,-7.8411,15,100,90,6.17,PT,1611982324
hare bay,60.1432,-45.2371,0.46,89,99,3.95,GL,1611982324
baijiantan,21.3469,-158.0858,25,64,1,3.6,US,1611982324
ocos,49.2,119.7,-28.24,85,71,3.72,CN,1611982324
qaanaaq,-35.7167,150.1833,28.33,94,30,0.89,AU,1611982325
codajas,35.7333,140.8333,8.89,23,20,8.23,JP,1611982325
medicine hat,70.3705,31.1107,-3.12,97,100,9.73,NO,1611982325
lae,16.8634,-99.8901,24.75,72,62,1.48,MX,1611982222
goderich,-17.0667,15.7333,19.84,82,100,2.13,AO,1611982326
ambatofinandrahana,3.0707,172.7902,26.95,77,100,6.66,KI,1611982326
carai,28.6585,-17.9182,16.67,88,20,3.6,ES,1611982035
vzmorye,-17.4,15.8833,21.14,74,100,2.32,NA,1611982326
andalan,-13.1256,38.9997,22.86,94,100,1.85,MZ,1611982327
road town,7.1344,-3.2047,21.19,96,3,1.16,CI,1611982327
olhao,64.8945,-23.7142,-1.79,98,100,8.24,IS,1611982327
nanortalik,-7.3817,108.2082,29.37,60,100,0.54,ID,1611982328
makakilo city,59.5833,151.2833,-25.15,82,35,5.56,RU,1611982328
hailar,23.8342,120.927,23.33,49,20,4.12,TW,1611982030
batemans bay,42.6225,126.2614,-13.95,89,26,4.62,CN,1611982328
hasaki,62.7161,129.6658,-44,59,94,1,RU,1611982329
vardo,47.358,36.6491,2.02,98,100,1.91,UA,1611982329
acapulco,-21.3585,55.7679,31,51,0,1.03,RE,1611982330
ondjiva,-8.1181,111.8935,28.47,73,100,1.21,ID,1611982330
butaritari,48.4001,-89.3168,-15,78,75,1.03,CA,1611982330
los llanos de aridane,69.2167,-51.1,-17,55,0,3.09,GL,1611982330
oshikango,64.3833,-173.3,-22.16,82,2,2.23,RU,1611982331
kuche,63.4453,120.3167,-40.34,79,100,1.27,RU,1611982331
barawe,64.8989,45.7622,-9.78,96,100,3.99,RU,1611982331
montepuez,-38.5473,-58.7368,17.78,75,64,2.24,AR,1611982331
agnibilekrou,13.0349,-9.4895,19.15,22,0,1.86,ML,1611982331
olafsvik,24.3448,124.1572,19,45,20,5.14,JP,1611982332
kawalu,63.2842,118.3319,-40.24,78,100,1.33,RU,1611982332
ola,54.2331,-125.7533,-12,79,100,1.03,CA,1611982332
nizhneyansk,41.4853,12.6179,9.44,81,0,3.09,IT,1611982332
nantou,64.8621,11.2373,-3.42,97,95,2.6,NO,1611982333
huinan,50.9942,81.4661,-9.93,94,13,3.07,RU,1611982333
namtsy,62.5833,6.1333,1,80,75,3.6,NO,1611982333
belushya guba,56.8519,33.4487,-5.49,97,100,3.06,RU,1611982333
amderma,5.6592,-53.7767,24.95,88,73,5.54,GF,1611982334
kuybysheve,8.5711,81.2335,26.7,81,13,6.07,LK,1611982334
saint-philippe,21.2667,-97.45,18.96,87,96,2.14,MX,1611982334
boyolangu,55.1001,-105.2842,-13,85,73,1.03,CA,1611982335
thunder bay,-29.4667,149.85,34,24,25,4.63,AU,1611982224
ilulissat,54.8753,69.1628,-15,85,0,6,KZ,1611982335
provideniya,22.5667,59.5289,21.92,37,0,3.15,OM,1611982336
verkhnevilyuysk,-15.7667,128.7333,31,94,40,5.66,AU,1611982336
leshukonskoye,36.9559,36.2,3.89,85,2,5.81,TR,1611982045
necochea,60.9167,-46.05,5,33,75,15.43,GL,1611982337
kita,27.1333,81.9333,15.71,38,0,3.37,IN,1611982142
ishigaki,-38.0023,-57.5575,20.56,94,74,2.06,AR,1611982152
nyurba,42.5617,-2.356,8,100,75,5.66,ES,1611982338
burns lake,-42.4667,171.2,16.88,57,0,3.81,NZ,1611982151
anzio,49.7502,-77.6328,-20,84,90,4.63,CA,1611982049
rorvik,32.2994,-9.2372,13.64,89,25,4.17,MA,1611982338
gornyak,63.7256,8.834,1,86,40,4.63,NO,1611982338
roald,-32.1759,26.8244,17.78,78,22,0.92,ZA,1611982339
selizharovo,59.7035,30.7861,-1,93,90,3,RU,1611982339
mana,58.4497,92.1703,-30.78,82,90,1.99,RU,1611982339
trincomalee,65.75,150.85,-32.51,84,100,5.44,RU,1611982339
tamiahua,51.7102,143.2326,-16.73,90,100,6.38,RU,1611982340
la ronge,-16.7,-151.0167,27.24,66,100,1.6,PF,1611982340
moree,63.7553,121.6247,-40.27,78,100,1.24,RU,1611982340
petropavl,-6.2167,149.55,31.54,63,81,6.74,PG,1611982340
gzhatsk,20.931,-17.0347,19.56,48,44,7.39,MR,1611982340
sur,-24.6333,17.9667,22.84,21,17,2.7,NA,1611982341
kununurra,64.5667,143.2,-26.08,80,100,1.89,RU,1611982341
saryshagan,25.9873,-80.2323,17,77,1,3.09,US,1611982326
tumannyy,58.6147,5.6457,-1,93,90,2.57,NO,1611982341
erzin,51.226,-58.6502,-10.68,91,66,5.77,CA,1611982342
narsaq,60.8156,-115.7999,-30,76,36,1.2,CA,1611982342
gonda,-8.1614,-70.7656,22.13,97,92,0.82,BR,1611982329
mar del plata,54.4815,53.471,-4.27,98,92,2.4,RU,1611982231
dzhusaly,-35.1,173.7833,21.11,56,48,4.47,NZ,1611982343
aras,67.45,153.6833,-36.89,83,99,1.47,RU,1611982343
greymouth,-8.9266,125.4092,20.32,89,100,2.63,TL,1611982343
matagami,52.2667,79.1667,-9.13,95,67,1.43,RU,1611982343
asfi,36.2133,58.7958,10.43,41,34,2.26,IR,1611982344
sistranda,35.1333,140.3,9,29,20,5.14,JP,1611982344
whittlesea,-34.6667,-54.9167,21,83,0,1.54,UY,1611982344
nikolskoye,63.7506,-68.5145,-23.89,70,1,13.38,CA,1611982345
yeniseysk,10.5669,72.642,27.1,71,14,4.14,IN,1611982345
zyryanka,12.3536,-4.7761,21.12,21,21,4.44,ML,1611982345
katangli,-34.0033,24.7314,17.23,65,0,2.36,ZA,1611982346
fare,-37.8333,140.7667,19,68,90,7.2,AU,1611982097
vilyuysk,-31.4333,152.9167,28.33,64,81,0.89,AU,1611982346
kandrian,57.79,-152.4072,2,55,1,3.6,US,1611982346
nouadhibou,36.855,28.2742,13.33,76,75,2.57,TR,1611982172
mariental,34.4133,-119.861,8,93,20,1.45,US,1611982272
ust-nera,-35.1667,173.1667,19.44,64,58,2.44,NZ,1611982347
miramar,-6.2167,155.6333,29.1,74,45,6.41,PG,1611982347
varhaug,-9.1061,124.8925,25.85,85,100,4.54,ID,1611982348
saint-augustin,63.8424,-22.4338,-1,93,75,2.57,IS,1611982348
hay river,56.8944,74.371,-19.86,89,100,3.7,RU,1611982348
tarauaca,56.2624,34.3282,-5.15,98,100,4.14,RU,1611982348
oktyabrskiy,-6.8844,112.2051,26.68,84,100,9.25,ID,1611982349
kaeo,21.5028,-158.0236,25,88,90,4.82,US,1611982349
srednekolymsk,-20.4081,57.7,27,83,75,3.6,MU,1611982349
airai,-38.6044,145.5913,22.22,76,42,6.52,AU,1611982350
klyuchi,-5.3964,-40.3086,24.03,76,100,2.45,BR,1611982350
bolungarvik,62.1444,117.6319,-40.29,77,100,1.45,RU,1611982350
neyshabur,48.9329,-125.5528,5.56,90,100,2.24,CA,1611982314
katsuura,-8.6011,-38.5686,23.6,75,99,4.03,BR,1611982315
maldonado,47.8123,38.2882,1.9,99,100,4.9,UA,1611982351
iqaluit,17.0151,54.0924,21,64,75,3.09,OM,1611982351
kavaratti,0.9472,33.1197,20.99,76,78,0.79,UG,1611982351
yorosso,41.2835,-70.0995,-5,79,90,9.26,US,1611982352
tsihombe,-17.8786,36.8883,27,78,40,1.54,MZ,1611982352
monatele,53.1229,34.9852,-4,86,90,5,RU,1611982352
kruisfontein,68.0546,166.4372,-31.85,80,0,2.03,RU,1611982352
mount gambier,14.454,120.5914,29,51,75,8.23,PH,1611982352
port macquarie,47.6666,-52.7314,-2.22,93,90,10.29,CA,1611982353
kodiak,22.8909,-109.9124,20,88,15,0.45,MX,1611982197
marmaris,47.5639,46.7218,-1.11,99,97,3.36,RU,1611982353
isla vista,-20.3428,57.7575,28.33,83,75,3.6,MU,1611982353
ahipara,-28.7667,114.6,39,15,0,9.26,AU,1611982354
kieta,47.6936,-114.1632,0,51,64,1.33,US,1611982354
illoqqortoormiut,-0.6,73.0833,27.81,76,65,6.06,MV,1611982354
atambua,-13.7,-76.2167,22,73,0,5.14,PE,1611982355
grindavik,15.2,-85.75,21,78,20,0.72,HN,1611982355
tara,29.9576,122.298,9.53,67,0,5.31,CN,1611982355
rzhev,-23.7,133.8833,36,32,79,6.17,AU,1611982341
labuhan,35.6003,103.2064,-0.88,72,100,1.81,CN,1611982356
barentsburg,16.6362,1.637,16.61,28,61,6.58,ML,1611982356
wahiawa,45.5234,-122.6762,6.11,89,99,1.34,US,1611982298
mahebourg,-33.918,25.5701,14,88,0,1.03,ZA,1611982357
wonthaggi,3.8146,23.6866,19.89,82,100,0.91,CD,1611982357
independencia,71.9167,114.0833,-38.62,75,0,1.73,RU,1611982357
suntar,33.7333,135.9833,8,39,20,8.23,JP,1611982358
ucluelet,69.3833,178.4167,-30.27,85,100,3.27,RU,1611982358
floresta,-12.486,130.9833,27,89,75,5.66,AU,1611982358
kuteynykove,-27.6258,-54.3078,21.11,91,11,0.89,BR,1611982358
salalah,41.3888,2.159,13.33,93,0,3.6,ES,1611982335
kamuli,34.388,67.0233,-6.04,82,0,0.98,AF,1611982359
nantucket,3.1655,-52.3158,21.92,98,91,0.84,GF,1611982359
quelimane,50.2334,-63.5986,-14,66,1,3.6,CA,1611982359
karachev,50.6789,156.125,-4.13,92,100,9.65,RU,1611982359
bilibino,41.1702,75.8106,-10.97,71,0,0.69,KG,1611982360
cabcaben,-19.0595,-169.9187,26,94,100,3.09,NU,1611982208
torbay,21.4447,-157.8378,25,73,75,5.66,US,1611982360
cabo san lucas,-20.5167,57.5167,27,83,75,3.6,MU,1611982360
tsagan aman,51.2029,29.0823,-6.21,97,78,2.16,UA,1611982361
bambous virieux,-18.65,-173.9833,27,89,75,5.14,TO,1611982361
geraldton,4.8699,-2.2405,25.47,83,1,3.02,GH,1611982361
polson,8.1222,-63.5497,24.21,73,8,5.15,VE,1611982361
hithadhoo,11.6667,92.75,28.83,66,17,5.01,IN,1611982362
saleaula,51.0333,-4.2167,10,95,100,0.89,GB,1611982362
pisco,43.213,-8.691,12,71,75,6.17,ES,1611982362
lolua,66.0449,-17.3389,-3,86,90,7.2,IS,1611982362
san esteban,-8.1842,-76.5125,21.22,88,100,0.27,PE,1611982363
shenjiamen,-29.9533,-71.3436,17,82,0,1.54,CL,1611982363
alice springs,40.4272,71.7189,3,44,75,1.14,UZ,1611982363
linxia,64.571,30.5767,-9.55,97,100,4.23,RU,1611982363
gao,52.9999,-122.5029,-6,79,90,3.6,CA,1611982363
balimo,70.8578,29.0864,-3.17,96,100,9.71,NO,1611982364
portland,-0.9,-89.6,24.94,83,31,4.29,EC,1611982364
port elizabeth,54.7169,-113.2854,-20,84,0,1.03,CA,1611982364
bondo,55.4334,-116.4858,-14,78,0,2.06,CA,1611982206
tabiauea,70.2396,22.3479,-6,67,90,3.09,NO,1611982365
saskylakh,41.2547,67.9692,8.03,52,100,7.69,KZ,1611982365
shingu,50.2845,29.5263,-6.67,92,75,2,UA,1611982365
leningradskiy,45.0039,43.7772,1.06,89,66,1.57,RU,1611982365
palmerston,39.6412,-85.1411,-3.33,72,30,2.81,US,1611982366
horizontina,40.8021,-124.1637,8.89,74,100,4.45,US,1611982366
barcelona,40.8106,111.6522,-4,46,0,2,CN,1611982366
panjab,-25.2406,130.9889,34,31,98,9.26,AU,1611982366
camopi,29.1966,-96.2697,15,87,40,2.57,US,1611982367
havre-saint-pierre,66.9395,-53.6735,-13.68,88,3,4.59,GL,1611982367
severo-kurilsk,-38.3833,142.4833,18.33,81,100,5.67,AU,1611982114
at-bashi,-0.9516,122.7875,30.74,53,98,0.97,ID,1611982367
alofi,54.7183,135.315,-23.48,88,100,5.64,RU,1611982367
ahuimanu,-3.8004,102.2655,29.75,62,98,3.13,ID,1611982368
souillac,50.2503,58.4347,-10.21,97,97,2.86,KZ,1611982368
doctor pedro p. pena,-33.8667,121.9,26,34,0,5.14,AU,1611982368
narodychi,-14.25,129.55,26.63,86,100,4.52,AU,1611982369
neiafu,42.8675,130.3581,-7.56,82,53,4.66,CN,1611982369
axim,64.8569,-147.8028,-17.22,77,40,1.54,US,1611982369
ciudad bolivar,53.0452,158.6483,-4,50,20,7,RU,1611982369
port blair,18.3851,42.4509,11,31,0,1.33,SA,1611982369
northam,5.6667,73,27.45,69,1,5.05,MV,1611982370
carballo,13.6017,26.6876,14.49,33,10,7.31,SD,1611982370
husavik,5.3998,26.4869,20.43,23,71,2.4,CF,1611982370
tocache,34.4506,40.9171,7.28,70,1,4.59,SY,1611982370
coquimbo,41.8666,-103.6672,1.11,69,1,1.58,US,1611982094
komsomolskiy,-7.95,110.2833,29.19,68,100,3.88,ID,1611982371
kostomuksha,40.5982,-124.1573,8.33,87,90,6.17,US,1611982371
quesnel,32.4832,72.9097,16.68,28,0,1.22,PK,1611982371
berlevag,-13.275,-50.1628,22.35,89,100,1.22,BR,1611982371
puerto baquerizo moreno,37.8406,-3.3526,12.78,97,62,3.59,ES,1611982372
athabasca,-0.8833,131.25,28.64,71,71,2.86,ID,1611982372
high prairie,60.7167,-46.0333,5,33,75,15.43,GL,1611982372
mechoacan,51.6782,33.9162,-5.52,97,97,5.44,UA,1611982372
oksfjord,63.4427,-20.2734,1.74,84,100,4.06,IS,1611982373
chardara,-30.3167,149.7833,34,22,40,3.09,AU,1611982373
brusyliv,-19.55,169.2667,27.43,70,19,8.1,VU,1611982373
sotnikovskoye,63.9167,24.9667,-11.11,90,100,3.43,FI,1611982373
connersville,-5.6667,132.75,28.62,77,48,6.59,ID,1611982374
eureka,53.9631,58.3981,-13,85,75,2,RU,1611982374
hohhot,23.2,-106.2333,20,68,20,1.15,MX,1611982374
yulara,38.421,-121.4238,7,87,1,1.54,US,1611982374
el campo,4.1363,96.1285,29.7,61,89,2.08,ID,1611982375
sisimiut,9.4942,50.8122,23.91,69,24,6.07,SO,1611982375
warrnambool,-11.6609,27.4794,18,100,0,0.4,CD,1611982375
luwuk,1.6744,31.715,22.31,47,52,0.94,UG,1611982375
chumikan,-34.084,18.8211,19.44,94,75,1.54,ZA,1611982375
bengkulu,59.5994,54.3125,-8.5,96,100,4.95,RU,1611982376
kalomo,68.0531,39.5131,-12.39,94,100,7.7,RU,1611982376
khromtau,51.6514,117.5599,-24.78,81,11,0.2,RU,1611982376
esperance,11.6876,-84.4562,20.4,96,44,4.45,NI,1611982376
port keats,50.0833,132.1667,-22.13,79,37,1.39,RU,1611982377
hunchun,-7.0167,113.8667,25.95,86,100,9.49,ID,1611982377
college,-34.6177,-68.3301,15.39,86,100,6.3,AR,1611982377
petropavlovsk-kamchatskiy,45.2117,36.7161,8,61,100,9,RU,1611982377
faya,24.6877,46.7219,15,31,51,3.09,SA,1611982377
ugoofaaru,1.55,110.3333,26,94,40,1.03,MY,1611982220
umm kaddadah,47.5667,9.1,6,81,90,4.63,CH,1611982378
obo,2.9167,73.5667,27.23,78,7,6.78,MV,1611982378
abu kamal,-23.1333,150.7333,32,45,40,5.66,AU,1611982379
scottsbluff,35.5,134.2333,5,56,75,7.72,JP,1611982379
bambanglipuro,47.4667,84.8667,-14.73,92,85,1.31,KZ,1611982379
fortuna,63.0128,112.4714,-39.65,81,81,1.74,RU,1611982379
bhera,-8.8978,-35.1478,25.32,82,100,4.7,BR,1611982329
sao miguel do araguaia,21.4612,-71.1419,22.23,71,7,8.71,TC,1611982380
jodar,70.9821,25.9704,-3.56,93,100,7.5,NO,1611982380
sorong,62.0788,150.477,-31.29,82,100,1.73,RU,1611982380
qaqortoq,-8.145,159.5921,29.15,76,99,5.22,SB,1611982380
hlukhiv,6.3005,-10.7969,25,94,75,3.1,LR,1611982381
vestmannaeyjar,5.9749,116.0724,30,74,20,2.57,MY,1611982381
narrabri,66.53,66.6019,-39.17,80,86,1.29,RU,1611982381
isangel,-20.7833,117.1333,34.72,42,34,5.52,AU,1611982381
nivala,70.6333,147.9167,-33.63,85,100,3.86,RU,1611982382
tual,4.375,-7.7169,25.68,86,19,2.65,LR,1611982382
beloretsk,42.0372,119.2889,-10.43,88,11,1.99,CN,1611982382
villa union,17.4333,-95.0333,19.32,96,95,3.54,MX,1611982382
laguna,68.7098,-52.8699,-18.16,89,2,2.12,GL,1611982383
meulaboh,10.9,77.0667,26,65,20,2.06,IN,1611982383
bandarbeyla,39.1672,8.5222,13,88,20,2.06,IT,1611982383
lubumbashi,20.15,92.9,25.15,28,48,2.06,MM,1611982383
